Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Germany,U.A.E.,U.A.E.,24 runs,Al Amerat,"Feb 19, 2022",T20I # 1477
Nepal,Philippines,Nepal,136 runs,Al Amerat,"Feb 19, 2022",T20I # 1474
Oman,Canada,Oman,9 wickets,Al Amerat,"Feb 19, 2022",T20I # 1475
India,West Indies,India,8 runs,Eden Gardens,"Feb 18, 2022",T20I # 1473
Bahrain,Germany,Bahrain,6 wickets,Al Amerat,"Feb 18, 2022",T20I # 1471
Ireland,U.A.E.,U.A.E.,18 runs,Al Amerat,"Feb 18, 2022",T20I # 1472
Australia,Sri Lanka,Australia,6 wickets,Melbourne,"Feb 18, 2022",T20I # 1470
Canada,Philippines,Canada,118 runs,Al Amerat,"Feb 18, 2022",T20I # 1468
Oman,Nepal,Nepal,39 runs,Al Amerat,"Feb 18, 2022",T20I # 1469
India,West Indies,India,6 wickets,Eden Gardens,"Feb 16, 2022",T20I # 1467
Australia,Sri Lanka,Australia,6 wickets,Canberra,"Feb 15, 2022",T20I # 1466
Ireland,Nepal,Ireland,16 runs,Al Amerat,"Feb 14, 2022",T20I # 1465
Oman,U.A.E.,Oman,7 wickets,Al Amerat,"Feb 14, 2022",T20I # 1464
Australia,Sri Lanka,tied,-,Sydney,"Feb 13, 2022",T20I # 1463
Ireland,U.A.E.,U.A.E.,13 runs,Al Amerat,"Feb 13, 2022",T20I # 1462
Oman,Ireland,Ireland,9 wickets,Al Amerat,"Feb 12, 2022",T20I # 1461
Nepal,U.A.E.,U.A.E.,25 runs,Al Amerat,"Feb 12, 2022",T20I # 1460
Oman,Nepal,Nepal,6 wickets,Al Amerat,"Feb 11, 2022",T20I # 1459
Australia,Sri Lanka,Australia,20 runs,Sydney,"Feb 11, 2022",T20I # 1458
West Indies,England,West Indies,17 runs,Bridgetown,"Jan 30, 2022",T20I # 1457
West Indies,England,England,34 runs,Bridgetown,"Jan 29, 2022",T20I # 1456
West Indies,England,West Indies,20 runs,Bridgetown,"Jan 26, 2022",T20I # 1455
West Indies,England,England,1 run,Bridgetown,"Jan 23, 2022",T20I # 1454
West Indies,England,West Indies,9 wickets,Bridgetown,"Jan 22, 2022",T20I # 1453
U.S.A.,Ireland,Ireland,9 runs,Lauderhill,"Dec 23, 2021",T20I # 1452
U.S.A.,Ireland,U.S.A.,26 runs,Lauderhill,"Dec 22, 2021",T20I # 1451
Pakistan,West Indies,Pakistan,7 wickets,Karachi,"Dec 16, 2021",T20I # 1450
Pakistan,West Indies,Pakistan,9 runs,Karachi,"Dec 14, 2021",T20I # 1449
Pakistan,West Indies,Pakistan,63 runs,Karachi,"Dec 13, 2021",T20I # 1448
Bangladesh,Pakistan,Pakistan,5 wickets,Mirpur,"Nov 22, 2021",T20I # 1447
India,New Zealand,India,73 runs,Eden Gardens,"Nov 21, 2021",T20I # 1446
Kenya,Uganda,Uganda,6 wickets,Rwanda,"Nov 20, 2021",T20I # 1444
Nigeria,Tanzania,Tanzania,69 runs,Kigali,"Nov 20, 2021",T20I # 1445
Bangladesh,Pakistan,Pakistan,8 wickets,Mirpur,"Nov 20, 2021",T20I # 1443
Tanzania,Uganda,Uganda,6 wickets,Rwanda,"Nov 20, 2021",T20I # 1441
Kenya,Nigeria,Kenya,60 runs,Kigali,"Nov 20, 2021",T20I # 1442
India,New Zealand,India,7 wickets,Ranchi,"Nov 19, 2021",T20I # 1440
Bangladesh,Pakistan,Pakistan,4 wickets,Mirpur,"Nov 19, 2021",T20I # 1439
Kenya,Tanzania,Kenya,7 wickets,Rwanda,"Nov 18, 2021",T20I # 1437
Nigeria,Uganda,Uganda,8 wickets,Kigali,"Nov 18, 2021",T20I # 1438
Tanzania,Uganda,Uganda,8 wickets,Rwanda,"Nov 18, 2021",T20I # 1435
Kenya,Nigeria,Kenya,8 wickets,Kigali,"Nov 18, 2021",T20I # 1436
India,New Zealand,India,5 wickets,Jaipur,"Nov 17, 2021",T20I # 1434
Nigeria,Uganda,Uganda,12 runs,Rwanda,"Nov 17, 2021",T20I # 1432
Kenya,Tanzania,Tanzania,49 runs,Kigali,"Nov 17, 2021",T20I # 1433
Nigeria,Tanzania,Tanzania,6 wickets,Rwanda,"Nov 17, 2021",T20I # 1430
Kenya,Uganda,Kenya,1 run,Kigali,"Nov 17, 2021",T20I # 1431
Argentina,Bermuda,Bermuda,3 wickets,Coolidge,"Nov 14, 2021",T20I # 1429
Australia,New Zealand,Australia,8 wickets,Dubai (DICS),"Nov 14, 2021",T20I # 1428
Canada,Panama,Canada,208 runs,Coolidge,"Nov 14, 2021",T20I # 1427
Bahamas,Panama,Panama,26 runs,Coolidge,"Nov 13, 2021",T20I # 1425
Argentina,Canada,Canada,9 wickets,North Sound,"Nov 13, 2021",T20I # 1426
Bahamas,U.S.A.,U.S.A.,10 wickets,Coolidge,"Nov 13, 2021",T20I # 1423
Belize,Bermuda,Bermuda,7 wickets,North Sound,"Nov 13, 2021",T20I # 1424
Bermuda,Panama,Bermuda,86 runs,Coolidge,"Nov 11, 2021",T20I # 1421
Argentina,U.S.A.,U.S.A.,8 wickets,North Sound,"Nov 11, 2021",T20I # 1422
Australia,Pakistan,Australia,5 wickets,Dubai (DICS),"Nov 11, 2021",T20I # 1420
Bermuda,Canada,Canada,46 runs,Coolidge,"Nov 11, 2021",T20I # 1418
Bahamas,Belize,Bahamas,11 runs,North Sound,"Nov 11, 2021",T20I # 1419
Canada,U.S.A.,tied,-,Coolidge,"Nov 10, 2021",T20I # 1416
Argentina,Panama,Argentina,45 runs,North Sound,"Nov 10, 2021",T20I # 1417
England,New Zealand,New Zealand,5 wickets,Abu Dhabi,"Nov 10, 2021",T20I # 1415
Bahamas,Bermuda,Bermuda,140 runs,Coolidge,"Nov 10, 2021",T20I # 1413
Argentina,Belize,Argentina,59 runs,North Sound,"Nov 10, 2021",T20I # 1414
Belize,Panama,Belize,12 runs,Coolidge,"Nov 8, 2021",T20I # 1411
Bermuda,U.S.A.,U.S.A.,23 runs,North Sound,"Nov 8, 2021",T20I # 1412
India,Namibia,India,9 wickets,Dubai (DICS),"Nov 8, 2021",T20I # 1410
Belize,Canada,Canada,145 runs,Coolidge,"Nov 8, 2021",T20I # 1408
Argentina,Bahamas,Bahamas,12 runs,North Sound,"Nov 8, 2021",T20I # 1409
Panama,U.S.A.,U.S.A.,9 wickets,Coolidge,"Nov 7, 2021",T20I # 1407
Pakistan,Scotland,Pakistan,72 runs,Sharjah,"Nov 7, 2021",T20I # 1406
Belize,U.S.A.,U.S.A.,10 wickets,Coolidge,"Nov 7, 2021",T20I # 1404
Bahamas,Canada,Canada,122 runs,North Sound,"Nov 7, 2021",T20I # 1405
Botswana,Tanzania,Tanzania,3 runs,Rwanda,"Nov 7, 2021",T20I # 1403
Afghanistan,New Zealand,New Zealand,8 wickets,Abu Dhabi,"Nov 7, 2021",T20I # 1402
Cameroon,Sierra Leone,Sierra Leone,6 wickets,Rwanda,"Nov 7, 2021",T20I # 1401
England,South Africa,South Africa,10 runs,Sharjah,"Nov 6, 2021",T20I # 1400
Cameroon,Tanzania,Tanzania,178 runs,Rwanda,"Nov 6, 2021",T20I # 1399
Australia,West Indies,Australia,8 wickets,Abu Dhabi,"Nov 6, 2021",T20I # 1398
Botswana,Mozambique,Botswana,52 runs,Rwanda,"Nov 6, 2021",T20I # 1397
India,Scotland,India,8 wickets,Dubai (DICS),"Nov 5, 2021",T20I # 1396
Mozambique,Sierra Leone,Sierra Leone,5 wickets,Rwanda,"Nov 5, 2021",T20I # 1395
Namibia,New Zealand,New Zealand,52 runs,Sharjah,"Nov 5, 2021",T20I # 1394
Botswana,Cameroon,Botswana,9 wickets,Rwanda,"Nov 5, 2021",T20I # 1393
Sri Lanka,West Indies,Sri Lanka,20 runs,Abu Dhabi,"Nov 4, 2021",T20I # 1392
Australia,Bangladesh,Australia,8 wickets,Dubai (DICS),"Nov 4, 2021",T20I # 1391
Afghanistan,India,India,66 runs,Abu Dhabi,"Nov 3, 2021",T20I # 1390
Sierra Leone,Tanzania,Tanzania,8 wickets,Rwanda,"Nov 3, 2021",T20I # 1389
New Zealand,Scotland,New Zealand,16 runs,Dubai (DICS),"Nov 3, 2021",T20I # 1388
Cameroon,Mozambique,Mozambique,171 runs,Rwanda,"Nov 3, 2021",T20I # 1387
Namibia,Pakistan,Pakistan,45 runs,Abu Dhabi,"Nov 2, 2021",T20I # 1386
Mozambique,Tanzania,Tanzania,87 runs,Rwanda,"Nov 2, 2021",T20I # 1385
Bangladesh,South Africa,South Africa,6 wickets,Abu Dhabi,"Nov 2, 2021",T20I # 1384
Botswana,Sierra Leone,Botswana,72 runs,Rwanda,"Nov 2, 2021",T20I # 1383
England,Sri Lanka,England,26 runs,Sharjah,"Nov 1, 2021",T20I # 1382
India,New Zealand,New Zealand,8 wickets,Dubai (DICS),"Oct 31, 2021",T20I # 1381
Afghanistan,Namibia,Afghanistan,62 runs,Abu Dhabi,"Oct 31, 2021",T20I # 1380
Australia,England,England,8 wickets,Dubai (DICS),"Oct 30, 2021",T20I # 1379
South Africa,Sri Lanka,South Africa,4 wickets,Sharjah,"Oct 30, 2021",T20I # 1378
Afghanistan,Pakistan,Pakistan,5 wickets,Dubai (DICS),"Oct 29, 2021",T20I # 1377
Qatar,Kuwait,Qatar,2 wickets,Doha,"Oct 29, 2021",T20I # 1376
Bangladesh,West Indies,West Indies,3 runs,Sharjah,"Oct 29, 2021",T20I # 1375
Bahrain,Saudi Arabia,Bahrain,18 runs,Doha,"Oct 28, 2021",T20I # 1373
Australia,Sri Lanka,Australia,7 wickets,Dubai (DICS),"Oct 28, 2021",T20I # 1374
Kuwait,Maldives,Kuwait,5 wickets,Doha,"Oct 28, 2021",T20I # 1372
Namibia,Scotland,Namibia,4 wickets,Abu Dhabi,"Oct 27, 2021",T20I # 1371
Qatar,Saudi Arabia,Qatar,5 wickets,Doha,"Oct 27, 2021",T20I # 1370
Bangladesh,England,England,8 wickets,Abu Dhabi,"Oct 27, 2021",T20I # 1369
Bahrain,Maldives,Bahrain,7 wickets,Doha,"Oct 27, 2021",T20I # 1368
New Zealand,Pakistan,Pakistan,5 wickets,Sharjah,"Oct 26, 2021",T20I # 1367
South Africa,West Indies,South Africa,8 wickets,Dubai (DICS),"Oct 26, 2021",T20I # 1366
Nigeria,Sierra Leone,Nigeria,36 runs,Lagos,"Oct 26, 2021",T20I # 1365
Afghanistan,Scotland,Afghanistan,130 runs,Sharjah,"Oct 25, 2021",T20I # 1364
Malta,Gibraltar,tied,-,Marsa,"Oct 25, 2021",T20I # 1363
Kuwait,Saudi Arabia,Saudi Arabia,4 wickets,Doha,"Oct 25, 2021",T20I # 1362
India,Pakistan,Pakistan,10 wickets,Dubai (DICS),"Oct 24, 2021",T20I # 1361
Nigeria,Sierra Leone,Nigeria,19 runs,Lagos,"Oct 24, 2021",T20I # 1360
Malta,Switzerland,Malta,6 runs,Marsa,"Oct 24, 2021",T20I # 1359
Qatar,Maldives,Qatar,98 runs,Doha,"Oct 24, 2021",T20I # 1358
Bangladesh,Sri Lanka,Sri Lanka,5 wickets,Sharjah,"Oct 24, 2021",T20I # 1357
Bulgaria,Gibraltar,Bulgaria,6 wickets,Marsa,"Oct 24, 2021",T20I # 1356
Bahrain,Kuwait,Kuwait,6 wickets,Doha,"Oct 24, 2021",T20I # 1355
England,West Indies,England,6 wickets,Dubai (DICS),"Oct 23, 2021",T20I # 1354
Malta,Bulgaria,Malta,6 wickets,Marsa,"Oct 23, 2021",T20I # 1353
Maldives,Saudi Arabia,Saudi Arabia,7 wickets,Doha,"Oct 23, 2021",T20I # 1352
Australia,South Africa,Australia,5 wickets,Abu Dhabi,"Oct 23, 2021",T20I # 1351
Malta,Switzerland,Switzerland,8 runs,Marsa,"Oct 23, 2021",T20I # 1350
Nigeria,Sierra Leone,Nigeria,9 wickets,Lagos,"Oct 23, 2021",T20I # 1349
Bulgaria,Gibraltar,Gibraltar,37 runs,Marsa,"Oct 23, 2021",T20I # 1347
Qatar,Bahrain,Bahrain,8 wickets,Doha,"Oct 23, 2021",T20I # 1348
Netherlands,Sri Lanka,Sri Lanka,8 wickets,Sharjah,"Oct 22, 2021",T20I # 1346
Bulgaria,Switzerland,Switzerland,8 wickets,Marsa,"Oct 22, 2021",T20I # 1345
Rwanda,Malawi,Malawi,24 runs,Rwanda,"Oct 22, 2021",T20I # 1343
Seychelles,Uganda,Uganda,95 runs,Kigali,"Oct 22, 2021",T20I # 1344
Ireland,Namibia,Namibia,8 wickets,Sharjah,"Oct 22, 2021",T20I # 1342
Gibraltar,Switzerland,Switzerland,9 wickets,Marsa,"Oct 22, 2021",T20I # 1341
Rwanda,Swaziland,Rwanda,7 wickets,Rwanda,"Oct 22, 2021",T20I # 1339
Lesotho,Malawi,Malawi,22 runs,Kigali,"Oct 22, 2021",T20I # 1340
Oman,Scotland,Scotland,8 wickets,Al Amerat,"Oct 21, 2021",T20I # 1338
Denmark,Jersey,Jersey,4 wickets,Almeria,"Oct 21, 2021",T20I # 1337
Nigeria,Sierra Leone,Nigeria,69 runs,Lagos,"Oct 21, 2021",T20I # 1336
Malta,Gibraltar,Malta,61 runs,Marsa,"Oct 21, 2021",T20I # 1335
Bangladesh,P.N.G.,Bangladesh,84 runs,Al Amerat,"Oct 21, 2021",T20I # 1334
Germany,Italy,Italy,1 run,Almeria,"Oct 21, 2021",T20I # 1333
Ghana,Uganda,Uganda,79 runs,Rwanda,"Oct 21, 2021",T20I # 1332
Ireland,Sri Lanka,Sri Lanka,70 runs,Abu Dhabi,"Oct 20, 2021",T20I # 1331
Denmark,Germany,Germany,12 runs,Almeria,"Oct 20, 2021",T20I # 1330
Seychelles,Swaziland,Seychelles,7 wickets,Rwanda,"Oct 20, 2021",T20I # 1328
Rwanda,Lesotho,Rwanda,22 runs,Kigali,"Oct 20-21, 2021",T20I # 1329
Namibia,Netherlands,Namibia,6 wickets,Abu Dhabi,"Oct 20, 2021",T20I # 1327
Nigeria,Sierra Leone,Nigeria,6 runs,Lagos,"Oct 20, 2021",T20I # 1326
Italy,Jersey,Jersey,8 wickets,Almeria,"Oct 20, 2021",T20I # 1325
Malawi,Seychelles,Malawi,21 runs,Rwanda,"Oct 20, 2021",T20I # 1323
Ghana,Swaziland,Ghana,7 wickets,Kigali,"Oct 20, 2021",T20I # 1324
Oman,Bangladesh,Bangladesh,26 runs,Al Amerat,"Oct 19, 2021",T20I # 1322
Germany,Jersey,Jersey,4 wickets,Almeria,"Oct 19, 2021",T20I # 1321
Rwanda,Seychelles,Rwanda,78 runs,Rwanda,"Oct 19, 2021",T20I # 1319
Swaziland,Uganda,Uganda,6 wickets,Kigali,"Oct 19, 2021",T20I # 1320
P.N.G.,Scotland,Scotland,17 runs,Al Amerat,"Oct 19, 2021",T20I # 1318
Nigeria,Sierra Leone,Sierra Leone,6 wickets,Lagos,"Oct 19, 2021",T20I # 1317
Denmark,Italy,Italy,9 runs,Almeria,"Oct 19, 2021",T20I # 1316
Ghana,Malawi,Ghana,7 wickets,Rwanda,"Oct 19, 2021",T20I # 1314
Lesotho,Uganda,Uganda,10 wickets,Kigali,"Oct 19, 2021",T20I # 1315
Namibia,Sri Lanka,Sri Lanka,7 wickets,Abu Dhabi,"Oct 18, 2021",T20I # 1313
Ireland,Netherlands,Ireland,7 wickets,Abu Dhabi,"Oct 18, 2021",T20I # 1312
Bangladesh,Scotland,Scotland,6 runs,Al Amerat,"Oct 17, 2021",T20I # 1311
Germany,Italy,Germany,4 wickets,Almeria,"Oct 17, 2021",T20I # 1310
Ghana,Lesotho,Ghana,116 runs,Rwanda,"Oct 17, 2021",T20I # 1308
Rwanda,Uganda,Uganda,106 runs,Kigali,"Oct 17, 2021",T20I # 1309
Oman,P.N.G.,Oman,10 wickets,Al Amerat,"Oct 17, 2021",T20I # 1307
Denmark,Jersey,Jersey,5 runs,Almeria,"Oct 17, 2021",T20I # 1306
Lesotho,Seychelles,Seychelles,6 wickets,Rwanda,"Oct 17, 2021",T20I # 1304
Malawi,Swaziland,Malawi,8 wickets,Kigali,"Oct 17, 2021",T20I # 1305
Italy,Jersey,Jersey,41 runs,Almeria,"Oct 16, 2021",T20I # 1303
Ghana,Seychelles,Ghana,9 wickets,Rwanda,"Oct 16, 2021",T20I # 1301
Malawi,Uganda,Uganda,10 wickets,Kigali,"Oct 16, 2021",T20I # 1302
Denmark,Germany,Germany,6 wickets,Almeria,"Oct 16, 2021",T20I # 1300
Rwanda,Ghana,Ghana,5 wickets,Rwanda,"Oct 16, 2021",T20I # 1298
Lesotho,Swaziland,Swaziland,54 runs,Kigali,"Oct 16, 2021",T20I # 1299
Denmark,Italy,Italy,6 wickets,Almeria,"Oct 15, 2021",T20I # 1297
Germany,Jersey,Jersey,4 runs,Almeria,"Oct 15, 2021",T20I # 1296
Namibia,P.N.G.,Namibia,14 runs,ICCA Dubai,"Oct 10, 2021",T20I # 1295
U.A.E.,Ireland,U.A.E.,7 wickets,ICCA Dubai,"Oct 10, 2021",T20I # 1294
Namibia,Scotland,Namibia,5 wickets,ICCA Dubai,"Oct 9, 2021",T20I # 1293
Estonia,Isle of Man,Isle of Man,8 wickets,Episkopi,"Oct 8, 2021",T20I # 1292
P.N.G.,Scotland,Scotland,8 wickets,ICCA Dubai,"Oct 8, 2021",T20I # 1291
Cyprus,Estonia,Cyprus,39 runs,Episkopi,"Oct 8, 2021",T20I # 1290
U.A.E.,Ireland,U.A.E.,54 runs,ICCA Dubai,"Oct 8, 2021",T20I # 1289
Cyprus,Estonia,Cyprus,79 runs,Episkopi,"Oct 7, 2021",T20I # 1288
Cyprus,Isle of Man,Isle of Man,3 wickets,Episkopi,"Oct 7, 2021",T20I # 1287
U.A.E.,Ireland,Ireland,7 wickets,ICCA Dubai,"Oct 7, 2021",T20I # 1286
Estonia,Isle of Man,Isle of Man,6 wickets,Episkopi,"Oct 6, 2021",T20I # 1285
Cyprus,Isle of Man,Isle of Man,8 wickets,Episkopi,"Oct 6, 2021",T20I # 1284
Cyprus,Estonia,Cyprus,8 wickets,Episkopi,"Oct 5, 2021",T20I # 1283
Cyprus,Estonia,Cyprus,4 wickets,Episkopi,"Oct 5, 2021",T20I # 1282
U.A.E.,Namibia,Namibia,17 runs,ICCA Dubai,"Oct 5, 2021",T20I # 1281
Scotland,Zimbabwe,Zimbabwe,6 wickets,Edinburgh,"Sep 19, 2021",T20I # 1280
Scotland,Zimbabwe,Zimbabwe,10 runs,Edinburgh,"Sep 17, 2021",T20I # 1279
Uganda,Kenya,Uganda,6 runs,Entebbe,"Sep 17, 2021",T20I # 1278
Kenya,Nigeria,Nigeria,4 runs,Entebbe,"Sep 16, 2021",T20I # 1277
Scotland,Zimbabwe,Scotland,7 runs,Edinburgh,"Sep 15, 2021",T20I # 1276
Uganda,Nigeria,Uganda,55 runs,Entebbe,"Sep 15, 2021",T20I # 1275
Uganda,Kenya,Uganda,4 wickets,Entebbe,"Sep 15, 2021",T20I # 1274
Sri Lanka,South Africa,South Africa,10 wickets,Colombo (RPS),"Sep 14, 2021",T20I # 1273
Kenya,Nigeria,Kenya,61 runs,Entebbe,"Sep 13, 2021",T20I # 1272
Uganda,Nigeria,Uganda,8 wickets,Entebbe,"Sep 13, 2021",T20I # 1271
Sri Lanka,South Africa,South Africa,9 wickets,Colombo (RPS),"Sep 12, 2021",T20I # 1270
Spain,Germany,Spain,1 wicket,Almeria,"Sep 11, 2021",T20I # 1269
Uganda,Nigeria,Uganda,56 runs,Entebbe,"Sep 11, 2021",T20I # 1268
Spain,Germany,Spain,5 wickets,Almeria,"Sep 11, 2021",T20I # 1267
Kenya,Nigeria,Kenya,8 wickets,Entebbe,"Sep 11, 2021",T20I # 1266
Sri Lanka,South Africa,South Africa,28 runs,Colombo (RPS),"Sep 10, 2021",T20I # 1265
Uganda,Kenya,Kenya,22 runs,Entebbe,"Sep 10, 2021",T20I # 1264
Bangladesh,New Zealand,New Zealand,27 runs,Mirpur,"Sep 10, 2021",T20I # 1263
Spain,Germany,Germany,7 wickets,Almeria,"Sep 10, 2021",T20I # 1262
Uganda,Kenya,no result,-,Entebbe,"Sep 10, 2021",T20I # 1261
Bangladesh,New Zealand,Bangladesh,6 wickets,Mirpur,"Sep 8, 2021",T20I # 1260
Bangladesh,New Zealand,New Zealand,52 runs,Mirpur,"Sep 5, 2021",T20I # 1258
Hungary,Malta,Hungary,8 wickets,Ilfov County,"Sep 5, 2021",T20I # 1259
Romania,Luxembourg,Romania,33 runs,Ilfov County,"Sep 5, 2021",T20I # 1257
Ireland,Zimbabwe,Zimbabwe,5 runs,Bready,"Sep 4, 2021",T20I # 1256
Romania,Malta,Romania,36 runs,Ilfov County,"Sep 4, 2021",T20I # 1255
Hungary,Luxembourg,Luxembourg,2 runs,Ilfov County,"Sep 4, 2021",T20I # 1254
Bulgaria,Czech Rep.,Czech Rep.,7 wickets,Ilfov County,"Sep 4, 2021",T20I # 1253
Romania,Hungary,Romania,8 runs,Ilfov County,"Sep 3, 2021",T20I # 1252
Bangladesh,New Zealand,Bangladesh,4 runs,Mirpur,"Sep 3, 2021",T20I # 1251
Bulgaria,Malta,Malta,7 wickets,Ilfov County,"Sep 3, 2021",T20I # 1250
Romania,Czech Rep.,Romania,35 runs,Ilfov County,"Sep 3, 2021",T20I # 1249
Ireland,Zimbabwe,Ireland,64 runs,Bready,"Sep 2, 2021",T20I # 1248
Luxembourg,Malta,Luxembourg,4 wickets,Ilfov County,"Sep 2, 2021",T20I # 1247
Czech Rep.,Hungary,Hungary,5 runs,Ilfov County,"Sep 2, 2021",T20I # 1246
Bulgaria,Luxembourg,Luxembourg,62 runs,Ilfov County,"Sep 2, 2021",T20I # 1245
Ireland,Zimbabwe,Ireland,40 runs,Bready,"Sep 1, 2021",T20I # 1244
Bangladesh,New Zealand,Bangladesh,7 wickets,Mirpur,"Sep 1, 2021",T20I # 1243
Ireland,Zimbabwe,Ireland,7 wickets,Dublin,"Aug 29, 2021",T20I # 1242
Ireland,Zimbabwe,Zimbabwe,3 runs,Dublin,"Aug 27, 2021",T20I # 1241
Portugal,Malta,Portugal,3 wickets,Albergaria,"Aug 22, 2021",T20I # 1240
Finland,Sweden,Sweden,6 wickets,Kerava,"Aug 22, 2021",T20I # 1239
Portugal,Gibraltar,Portugal,110 runs,Albergaria,"Aug 22, 2021",T20I # 1238
Finland,Sweden,Sweden,3 wickets,Kerava,"Aug 22, 2021",T20I # 1237
Gibraltar,Malta,Malta,4 runs,Albergaria,"Aug 21, 2021",T20I # 1236
Finland,Sweden,Finland,4 wickets,Kerava,"Aug 21, 2021",T20I # 1235
Rwanda,Ghana,Ghana,7 wickets,Rwanda,"Aug 21, 2021",T20I # 1234
Portugal,Gibraltar,Portugal,96 runs,Albergaria,"Aug 21, 2021",T20I # 1233
Finland,Sweden,Finland,4 wickets,Kerava,"Aug 21, 2021",T20I # 1232
Rwanda,Ghana,Ghana,-,Rwanda,"Aug 20, 2021",T20I # 1231
Gibraltar,Malta,Malta,8 wickets,Albergaria,"Aug 20, 2021",T20I # 1230
Rwanda,Ghana,Rwanda,57 runs,Rwanda,"Aug 20, 2021",T20I # 1229
Portugal,Malta,Portugal,6 wickets,Albergaria,"Aug 19, 2021",T20I # 1228
Rwanda,Ghana,Ghana,2 wickets,Rwanda,"Aug 18, 2021",T20I # 1227
Rwanda,Ghana,Rwanda,1 wicket,Rwanda,"Aug 18, 2021",T20I # 1226
Denmark,Sweden,Denmark,6 wickets,Brondby,"Aug 15, 2021",T20I # 1225
Denmark,Sweden,Sweden,3 wickets,Brondby,"Aug 14, 2021",T20I # 1224
Denmark,Sweden,Denmark,8 runs,Brondby,"Aug 14, 2021",T20I # 1223
Bangladesh,Australia,Bangladesh,60 runs,Mirpur,"Aug 9, 2021",T20I # 1222
Germany,Norway,Germany,6 wickets,Krefeld,"Aug 8, 2021",T20I # 1221
Germany,Norway,Norway,51 runs,Krefeld,"Aug 8, 2021",T20I # 1220
France,Norway,Norway,3 runs,Krefeld,"Aug 7, 2021",T20I # 1219
Bangladesh,Australia,Australia,3 wickets,Mirpur,"Aug 7, 2021",T20I # 1218
Germany,France,Germany,48 runs,Krefeld,"Aug 7, 2021",T20I # 1217
Bangladesh,Australia,Bangladesh,10 runs,Mirpur,"Aug 6, 2021",T20I # 1216
Germany,France,Germany,2 wickets,Krefeld,"Aug 6, 2021",T20I # 1215
France,Norway,France,4 wickets,Krefeld,"Aug 5, 2021",T20I # 1214
Germany,Norway,Germany,5 wickets,Krefeld,"Aug 5, 2021",T20I # 1213
Bangladesh,Australia,Bangladesh,5 wickets,Mirpur,"Aug 4, 2021",T20I # 1212
West Indies,Pakistan,no result,-,Providence,"Aug 3, 2021",T20I # 1211
Bangladesh,Australia,Bangladesh,23 runs,Mirpur,"Aug 3, 2021",T20I # 1210
West Indies,Pakistan,no result,-,Providence,"Aug 1, 2021",T20I # 1209
West Indies,Pakistan,Pakistan,7 runs,Providence,"Jul 31, 2021",T20I # 1208
Sri Lanka,India,Sri Lanka,7 wickets,Colombo (RPS),"Jul 29, 2021",T20I # 1207
Sri Lanka,India,Sri Lanka,4 wickets,Colombo (RPS),"Jul 28, 2021",T20I # 1206
West Indies,Pakistan,no result,-,Bridgetown,"Jul 28, 2021",T20I # 1205
Sri Lanka,India,India,38 runs,Colombo (RPS),"Jul 25, 2021",T20I # 1204
Zimbabwe,Bangladesh,Bangladesh,5 wickets,Harare,"Jul 25, 2021",T20I # 1203
Belgium,Austria,Austria,6 wickets,Waterloo,"Jul 25, 2021",T20I # 1202
Ireland,South Africa,South Africa,49 runs,Belfast,"Jul 24, 2021",T20I # 1201
Belgium,Austria,Belgium,12 runs,Waterloo,"Jul 24, 2021",T20I # 1200
Belgium,Austria,Belgium,7 wickets,Waterloo,"Jul 24, 2021",T20I # 1199
Zimbabwe,Bangladesh,Zimbabwe,23 runs,Harare,"Jul 23, 2021",T20I # 1198
Ireland,South Africa,South Africa,42 runs,Belfast,"Jul 22, 2021",T20I # 1197
Zimbabwe,Bangladesh,Bangladesh,8 wickets,Harare,"Jul 22, 2021",T20I # 1196
England,Pakistan,England,3 wickets,Manchester,"Jul 20, 2021",T20I # 1195
Ireland,South Africa,South Africa,33 runs,Dublin (Malahide),"Jul 19, 2021",T20I # 1194
England,Pakistan,England,45 runs,Leeds,"Jul 18, 2021",T20I # 1193
West Indies,Australia,West Indies,16 runs,Gros Islet,"Jul 16, 2021",T20I # 1192
England,Pakistan,Pakistan,31 runs,Nottingham,"Jul 16, 2021",T20I # 1191
West Indies,Australia,Australia,4 runs,Gros Islet,"Jul 14, 2021",T20I # 1190
West Indies,Australia,West Indies,6 wickets,Gros Islet,"Jul 12, 2021",T20I # 1189
West Indies,Australia,West Indies,56 runs,Gros Islet,"Jul 10, 2021",T20I # 1188
Malta,Belgium,Belgium,39 runs,Marsa,"Jul 10, 2021",T20I # 1187
Malta,Belgium,Malta,-,Marsa,"Jul 10, 2021",T20I # 1186
West Indies,Australia,West Indies,18 runs,Gros Islet,"Jul 9, 2021",T20I # 1185
Malta,Belgium,Belgium,4 wickets,Marsa,"Jul 9, 2021",T20I # 1184
Malta,Belgium,Belgium,10 wickets,Marsa,"Jul 8, 2021",T20I # 1183
Malta,Belgium,Malta,6 wickets,Marsa,"Jul 8, 2021",T20I # 1182
West Indies,South Africa,South Africa,25 runs,St George's,"Jul 3, 2021",T20I # 1181
West Indies,South Africa,West Indies,21 runs,St George's,"Jul 1, 2021",T20I # 1180
West Indies,South Africa,South Africa,1 run,St George's,"Jun 29, 2021",T20I # 1179
West Indies,South Africa,South Africa,16 runs,St George's,"Jun 27, 2021",T20I # 1178
Bulgaria,Romania,Romania,7 wickets,Sofia,"Jun 27, 2021",T20I # 1177
